long,lat,VESSLTERMS
-97.666883,24.667039,SURCEASE
-97.350261,27.225322,ANITA BRYANT
-97.341933,27.811969,SIR JOHN
-70.662817,42.363986,VESTA
-70.662817,42.363986,WM H YERKES JR
-70.659206,42.359819,UNKNOWN
-70.658381,42.610194,UNKNOWN
-70.657817,42.380097,ETHEL N.
-70.656428,42.379264,WAVE
-70.655042,42.504261,MORITZ
-70.654483,42.393431,MIST
-70.654367,42.614592,UNKNOWN
-70.650872,42.362597,ANNIE CONANT
-70.650872,42.408431,CONFIDENCE
-70.649483,42.407319,MASSACOIT
-70.647817,42.373431,JOSEPH ROSS
-70.644142,41.680772,UNKNOWN
-70.641153,42.503428,CLINTON
-70.632808,41.725658,UNKNOWN
-70.632806,41.516775,VINNIE LEE
-70.625317,42.434542,GALE
-70.624919,41.501642,UNKNOWN
-70.623728,42.862478,FERO QUEEN
-70.619486,42.580094,GLOUCESTER QUEEN
-70.619483,42.368431,KING PHILLIP
-70.609486,42.555094,UNKNOWN
-70.607822,42.806758,PILE DRIVER N
-70.606147,42.271767,SOUTHLAND
-70.599492,43.008422,SAMUEL J. GAUCHER
-70.599483,42.400097,YF 415
-70.599467,41.133453,VIKING
-70.599464,40.983456,UNKNOWN
-70.592289,41.092725,PAT & JUDY
-70.591983,42.388708,OCEAN
-70.584486,42.676761,CHARLES S. HAIGHT
-70.579483,42.461764,AUGUSTA SNOW
-70.578736,42.433178,UNKNOWN
-70.574483,42.416764,UNKNOWN
-70.571431,42.673706,CALIFORNIA II
-70.571358,41.494614,UNKNOWN
-70.571244,41.485931,UNKNOWN
-70.566972,41.527608,UNKNOWN
-70.566147,42.383431,JEAN AND PATRICIA
-70.566144,42.1501,C.W.CULLEN
-70.562811,42.1551,WINSOR
-70.560608,42.156208,PINTHIS
-70.559483,42.616761,UNKNOWN
-70.557817,42.428431,UNKNOWN
-70.554483,42.625094,UNKNOWN
-70.553464,41.496386,PORT HUNTER
-70.549514,41.478133,UNKNOWN
-70.533692,41.479606,KERSHAW
-70.524458,40.585128,PETER RICKMERS
-70.516144,42.268156,UNKNOWN
-70.516131,40.883458,PAT & JUDY
-70.514033,41.789883,WRECK
-70.512822,42.950092,WM H MACHEN
-70.500439,42.039358,JUNE K
-70.499489,42.950092,WILLIAM A. MACHEN
-70.499472,41.883436,CG 58012
-70.499464,41.083458,ALERT
-70.498692,42.084072,UNKNOWN
-70.492806,41.906769,HENRY ENDICOTE
-70.492781,41.91245,HENRY ENDICOTT
-70.491972,41.937881,MARS
-70.48685,41.395678,UNKNOWN
-70.484469,41.785106,EXMINSTER
-70.481133,41.221789,KRISTEN LEIGH
-70.475625,41.779925,UNKNOWN
-70.473008,42.091233,UNKNOWN
-70.47115,42.665094,UNKNOWN
-70.462803,41.775106,POTTSTOWN
-70.461969,41.775106,UNKNOWN
-70.457828,43.241753,UNKNOWN
-70.457794,40.825128,SPARHAWK
-70.457053,42.088547,UNKNOWN
-70.451278,43.103139,EMPIRE KNIGHT (1)
-70.450861,43.116417,UNKNOWN
-70.449561,41.474397,DOLPHIN
-70.444734,41.917762,MARY B HOWARD
-70.435122,41.461294,DARNOC
-70.435,42.516667,UNKNOWN
-70.434753,42.517242,WRECK
-70.4328,41.338453,EDITH BOUDREAU
-70.432794,40.933458,SKIPPER
-70.416147,42.500097,RESTLESS
-70.413042,42.066042,UNKNOWN
-70.386131,41.447731,JOHN PAUL
-70.382803,41.916769,PIONEER
-70.382792,40.683461,DAVID C. WINSLOW
-70.380278,42.510278,UNKNOWN
-70.372244,41.514,PC 1203
-70.366136,41.900103,SURGE
-70.366128,41.050125,OLIVE M. WILLIAMS
-70.349478,42.341764,LEAH F
-70.346139,42.097322,INCA
-70.337797,41.271789,PATTY SUE
-70.332811,42.350097,HEROIC
-70.332803,42.000103,GLENSIDE
-70.332794,41.133458,DOROTHY & BETTY
-70.330028,42.073433,GEORGINA M.
-70.322814,42.691761,ALDEN
-70.306158,43.503417,WASHINGTON B. THOMAS
-70.301556,41.452278,SENECA
-70.295322,43.118144,DOMINION HALSYD
-70.290872,41.63075,UNKNOWN
-70.277797,41.300122,ANTOINETTE
-70.26815,42.500064,UNKNOWN
-70.268086,41.589547,UNKNOWN
-70.267167,41.454333,WRECK
-70.266969,42.043436,UNKNOWN
-70.260303,42.0501,FRANCIS
-70.257794,41.40845,UNKNOWN
-70.249478,42.550097,NATALIE HAMMOND
-70.246158,43.650083,S/C TUBBY TOO
-70.244528,41.453861,UNKNOWN
-70.244325,41.575806,UNKNOWN
-70.242239,41.5715,CHERYL RAY
-70.237803,42.036769,MILADI
-70.2246667,43.667306,UNKNOWN
-70.223381,41.636861,UNKNOWN
-70.219603,41.637056,UNKNOWN
-70.2189722,43.669028,UNKNOWN
-70.216156,43.555083,BAY STATE
-70.216111,41.404167,UNKNOWN
-70.203917,43.535222,JESSICA ANN
-70.202872,41.444914,UNKNOWN
-70.199478,42.666761,VILLANOVA
-70.199478,42.666761,MARIANNA
-70.194189,43.708136,UNKNOWN
-70.189469,42.008436,WRECK
-70.185642,43.72285,UNKNOWN
-70.185333,42.039611,WRECK
-70.182803,42.045103,ALBERTA
-70.181667,42.050833,WRECK
-70.181461,41.665944,UNKNOWN
-70.179333,42.048056,WRECK
-70.176417,42.1751,THREE GIRLS
-70.171878,43.530389,UNKNOWN
-70.171136,42.033436,WRECK
-70.163583,43.643906,UNKNOWN
-70.15335,41.371508,SEABOARD
-70.151136,42.051769,WRECK
-70.143028,41.829972,JAN
-70.140131,43.747597,UNKNOWN
-70.140092,40.768547,CAPTAIN BILL II
-70.138333,43.736794,UNKNOWN
-70.136992,43.707025,UNKNOWN
-70.134928,43.716142,UNKNOWN
-70.132803,42.1151,CAPTAIN BILL
-70.132789,41.010128,HARRY GLEN
-70.132703,35.566872,ALCOA GUIDE
-70.126128,41.400117,MARIE HOOPER
-70.116119,40.833461,PORTUGAL
-70.113069,41.311786,UNKNOWN
-70.113069,41.311786,MARY AND JOAN
-70.1095,40.602511,DOROTHY & MARY
-70.102803,42.0701,CLARA BELLE
-70.099489,43.500086,PE 56
-70.090167,40.749694,PRINCESS
-70.070625,41.313675,UNKNOWN
-70.066725,42.383469,UNKNOWN
-70.047786,40.830128,JAMES LONGSTREET
-70.029736,41.494003,SHIRLEY AND TOM
-70.011133,42.040103,UNKNOWN
-70.005125,41.517661,UNKNOWN
-70.002111,41.523689,UNKNOWN
-69.999467,42.000103,OSCEOLA
-69.999456,41.200122,SS CANONBURY
-69.999428,39.366806,BERANGER
-69.999372,36.0002,ATIK
-69.999372,36.0002,CAROLYN
-69.992633,41.522833,UNKNOWN
-69.989489,43.614806,S-21
-69.989489,43.615083,U.S.S.21
-69.984506,41.527572,UNKNOWN
-69.982783,40.808461,ANNA C PERRY
-69.981131,41.953436,WHITE SQUALL
-69.980569,41.549281,DIXIE SWORD
-69.974464,41.941769,DANIEL B. FEARING
-69.974464,41.941769,VIRGINIA
-69.962778,41.55,UNKNOWN
-69.960625,41.587447,PENDLETON
-69.957797,41.896772,CASTAGNA
-69.949461,41.883439,WIDDAH
-69.949419,38.883481,PLOW CITY
-69.946067,41.545994,UNKNOWN
-69.939456,41.373453,GREY LOCK
-69.932797,42.033436,ROSIE C
-69.925011,41.399839,UNKNOWN
-69.916103,40.100133,UNKNOWN
-69.914458,41.668278,UNKNOWN
-69.912792,41.636778,CONNECTICUT
-69.904472,41.555542,ALVA
-69.902597,41.552697,HORATIO HALL
-69.902564,41.561608,UNKNOWN
-69.874717,41.590678,ARANSAS
-69.874167,41.588333,WEST VIRGINIA
-69.867442,40.490131,ANDREA DORIA
-69.851678,41.708444,UNKNOWN
-69.844433,40.1468,UNKNOWN
-69.832797,42.050103,VINCENZO
-69.799456,41.641778,LYNNE MARC
-69.799428,39.833469,L.BEARD
-69.792764,40.028469,UNKNOWN
-69.782792,41.866775,SKIPPER
-69.777303,40.665992,VALIANT LADY
-69.774436,40.4418,UNKNOWN
-69.769083,40.640853,SKIPPER
-69.767511,41.633447,GEORGE P. HUDSON
-69.766133,42.366767,U-857
-69.749431,40.025136,UNKNOWN
-69.747783,41.336786,UNKNOWN
-69.736433,40.750286,RUSH
-69.732764,40.150136,U-550
-69.704444,40.886794,FLORENCE B
-69.691122,41.775108,MILTON
-69.685811,41.309328,UNKNOWN
-69.666094,40.183469,UNKNOWN
-69.632547,40.480597,REPUBLIC
-69.624489,43.72925,HARTWELSON
-69.616144,43.016761,STEWART SALTER
-69.616114,41.216789,PROGRESS
-69.616097,40.3918,UNKNOWN
-69.607764,40.389022,PAN PENNSYLVANIA
-69.574436,40.646797,STEPHANO
-69.526089,40.111803,UNKNOWN
-69.492058,41.014478,TEXAS TOWER 3
-69.491094,40.439022,UNKNOWN
-69.464447,41.546783,UNKNOWN
-69.457772,41.036792,ARGO MERCHANT-STERN
-69.452772,41.011792,ARGO MERCHANT-BOW
-69.449439,41.000125,UNKNOWN
-69.424539,41.003239,UNKNOWN
-69.424444,41.45845,UNKNOWN
-69.414875,40.381531,MARIE & KATHERINE
-69.407758,40.433467,UNKNOWN
-69.399489,43.700083,BOHEMIAN
-69.391108,41.45845,MISS O'FRAZIA
-69.381111,41.581783,UNKNOWN
-69.374456,42.150106,CHEROKEE
-69.374456,42.150106,PORT NICHOLSON
-69.374442,41.380119,UNKNOWN
-69.349469,42.800097,ROBERT AND RICH
-69.348225,41.468522,REGAL SWORD
-69.343867,40.325136,STRATHDENE
-69.324431,40.933461,UNKNOWN
-69.316097,40.950128,UNKNOWN
-69.316094,40.750131,OREGON
-69.315872,43.464808,CATAWANTEAK
-69.310528,40.389719,UNKNOWN
-69.30775,40.116806,UNKNOWN
-69.291106,41.300122,MISS SHIRLEY
-69.266106,41.350119,KATI D
-69.222769,41.333456,UNKNOWN
-69.219433,41.185125,UNKNOWN
-69.21785,40.272119,ADVENTURE
-69.166119,42.333436,TABORFJELL
-69.161917,40.405692,UNKNOWN
-69.116117,42.200106,YALE
-69.099422,40.700131,EMMA JOSIE
-69.082814,43.500086,LOTTIE MERCHANT
-69.077703,41.262214,UNKNOWN
-69.06615,43.896747,CAROLYN
-69.040317,44.040914,CITY OF PORTLAND
-69.016097,41.283456,B & E
-69.016094,41.200125,ST. ANTHONY
-68.999442,42.000111,WILMINGTON
-68.998092,44.093136,AMARETTO
-68.982761,41.200125,YANKEE
-68.977644,44.387408,UNKNOWN
-68.974428,41.253456,UNKNOWN
-68.966122,42.550103,DAYTONA
-68.949436,41.68345,DORIS F. AMERO
-68.946094,41.370122,UNKNOWN
-68.921003,44.251161,UNKNOWN
-68.918086,44.2548,UNKNOWN
-68.915586,44.277856,UNKNOWN
-68.908975,44.327075,UNKNOWN
-68.900856,44.438308,UNKNOWN
-68.897975,44.307328,UNKNOWN
-68.896975,44.458686,UNKNOWN
-68.896697,44.458131,UNKNOWN
-68.881333,44.126881,MICHAEL DAVID
-68.876586,44.464658,UNKNOWN
-68.867761,41.490119,UNKNOWN
-68.864478,44.589294,UNKNOWN
-68.8622222,43.883333,HARKNESS
-68.858869,41.095464,UNKNOWN
-68.857108,44.350131,UNKNOWN
-68.835858,41.163739,UNKNOWN
-68.816136,43.408422,ST. CHRISTOPHER
-68.812492,44.59385,UNKNOWN
-68.812475,44.593628,UNKNOWN
-68.799472,44.200078,ROYAL TAR
-68.799403,40.266806,MARK ANTHONY
-68.795058,44.5666,UNKNOWN
-68.783083,44.453881,SQUALL
-68.774889,44.382019,UNKNOWN
-68.73905,40.874769,EUGENE H.
-68.682756,41.400122,VALIANT
-68.682753,41.350122,MAGELLAN
-68.682742,40.687633,UNKNOWN
-68.678308,40.737506,UNKNOWN
-68.677178,40.365417,WEST POINT
-68.638364,40.718353,GROWLER
-68.627753,41.316792,UNKNOWN
-68.582775,42.466772,LILLIAN E. KERR
-68.54775,41.358458,UNKNOWN
-68.499353,38.083508,THURSOBANK
-68.45625,40.605472,UNKNOWN
-68.442653,44.191256,UNKNOWN
-68.382758,41.966781,EAGLE
-68.332792,44.01675,CORNWALLIS
-68.302011,41.010425,UNKNOWN
-68.246083,41.841783,UNKNOWN
-68.186075,41.512622,SOLVEIG J
-68.102686,41.441656,UNKNOWN
-68.0911,42.750103,MEDFORD
-68.091058,40.800133,UNKNOWN
-68.076078,41.85845,UNKNOWN
-67.999353,39.000164,MARGOT
-67.999353,39.000164,MARY MANNING
-67.976064,41.260128,UNKNOWN
-67.916075,41.950117,PHILIP & GRACE
-67.914411,42.000117,UNKNOWN
-67.816039,40.333478,FLORA OLIVER
-67.669386,41.270131,UNKNOWN
-67.612733,41.958453,UNKNOWN
-67.586064,41.836786,I. PARKER
-67.539375,40.950136,UNKNOWN
-67.534375,40.973469,UNKNOWN
-67.517731,41.966786,UNKNOWN
-67.466033,40.633475,TERESA A
-67.449372,40.966803,MICHAEL DENSMORE
-67.446061,41.965119,UNKNOWN
-67.366058,41.966786,UNKNOWN
-67.366036,40.875136,UNKNOWN
-67.357764,44.573411,D.M.MUNRO
-67.336039,41.060133,UNKNOWN
-67.302703,41.055136,UNKNOWN
-67.299408,43.116767,SKOTTLAND
-67.237761,44.618411,EDUARDO
